project,task_name,source,target
hr-浏览曝光点击,ads_company_delivery_channel_scene_statistics,dws.dws_transform_delivery_user_statistics_day,ads.ads_company_delivery_channel_scene_statistics
hr-浏览曝光点击,ads_company_delivery_channel_scene_statistics,dwd.dwd_hr_company_basicdata,ads.ads_company_delivery_channel_scene_statistics
hr-浏览曝光点击,ads_company_delivery_channel_scene_statistics,dwd.dwd_hr_click_log,ads.ads_company_delivery_channel_scene_statistics
hr-浏览曝光点击,ads_company_delivery_channel_scene_statistics,dwd.dwd_hr_job_basicdata,ads.ads_company_delivery_channel_scene_statistics
hr-浏览曝光点击,ads_page_view_weekly_statistics,dws.dws_browse_user_page_statistics_day,ads.ads_page_view_weekly_statistics
hr-浏览曝光点击,ads_job_show_click_statistics,dwd.dwd_hr_show_log,ads.ads_job_show_click_statistics
hr-浏览曝光点击,ads_job_show_click_statistics,dwd.dwd_hr_click_log,ads.ads_job_show_click_statistics
hr-浏览曝光点击,ads_referrer_view_weekly_statistics,dws.dws_browse_user_page_statistics_day,ads.ads_referrer_view_weekly_statistics
hr-浏览曝光点击,ads_roadmap_view_weekly_statistics,dws.dws_browse_user_page_statistics_day,ads.ads_roadmap_view_weekly_statistics
hr-浏览曝光点击,ads_slot_resume_show_click_statistics,dwd.dwd_hr_show_log,ads.ads_slot_resume_show_click_statistics
hr-浏览曝光点击,ads_slot_resume_show_click_statistics,dwd.dwd_hr_job_basicdata,ads.ads_slot_resume_show_click_statistics
hr-浏览曝光点击,ads_slot_resume_show_click_statistics,dwd.dwd_hr_company_basicdata,ads.ads_slot_resume_show_click_statistics
hr-浏览曝光点击,ads_slot_resume_show_click_statistics,dwd.dwd_hr_click_log,ads.ads_slot_resume_show_click_statistics
hr-浏览曝光点击,ads_slot_show_click_statistics,dwd.dwd_hr_show_log,ads.ads_slot_show_click_statistics
hr-浏览曝光点击,ads_slot_show_click_statistics,dwd.dwd_hr_job_basicdata,ads.ads_slot_show_click_statistics
hr-浏览曝光点击,ads_slot_show_click_statistics,dwd.dwd_hr_company_basicdata,ads.ads_slot_show_click_statistics
hr-浏览曝光点击,ads_slot_show_click_statistics,dwd.dwd_hr_click_log,ads.ads_slot_show_click_statistics
hr-浏览曝光点击,dwd_if_import,dwd.dwd_hr_resume_basicdata,dwd.dwd_if_import
hr-浏览曝光点击,dwd_if_import,ods.ods_resumehunter_basicdata,dwd.dwd_if_import
hr-浏览曝光点击,dwd_click_log,ods.ods_hr_click_log,dwd.dwd_hr_click_log
hr-浏览曝光点击,dwd_company_basicdata,ods.ods_hr_company_basicdata,dwd.dwd_hr_company_basicdata
hr-浏览曝光点击,dwd_job_basicdata,ods.ods_job_basicdata,dwd.dwd_hr_job_basicdata
hr-浏览曝光点击,dwd_resume_deliverrecord,ods.ods_resume_deliverrecord,dwd.dwd_hr_resume_deliverrecord
hr-浏览曝光点击,dwd_resume_deliverrecordopearatinglog,ods.ods_hr_resume_deliverrecordopearatinglog,dwd.dwd_hr_resume_deliverrecordopearatinglog
hr-浏览曝光点击,dwd_resume_educationbasicdata,ods.ods_hr_resume_educationbasicdata,dwd.dwd_hr_resume_educationbasicdata
hr-浏览曝光点击,dwd_rigster_data,ods.ods_register_data,dwd.dwd_register_data
hr-浏览曝光点击,dwd_show_log,ods.ods_hr_show_log,dwd.dwd_hr_show_log
hr-浏览曝光点击,dwd_view_details,ods.ods_hr_view_log,dwd.dwd_hr_view_details
hr-浏览曝光点击,ods_hr_sync_live_maidian2dwd_view_details,ods.ods_hr_sync_live_maidian,dwd.dwd_hr_view_details
hr-运营看板,ads_active_user_record,dwd.dwd_hr_view_details,ads.ads_active_user_record
hr-运营看板,ads_active_user_record,dwd.dwd_register_data,ads.ads_active_user_record
hr-运营看板,ads_active_user_record_yesterday,dwd.dwd_hr_view_details,ads.ads_active_user_record_yesterday
hr-运营看板,ads_active_user_record_yesterday,dwd.dwd_register_data,ads.ads_active_user_record_yesterday
hr-运营看板,ads_data_trend_chart_active_60days,dwd.dwd_hr_view_details,ads.ads_data_trend_chart_active_60days
hr-运营看板,ads_data_trend_chart_active_60days,dwd.dwd_register_data,ads.ads_data_trend_chart_active_60days
hr-运营看板,ads_data_trend_chart_active_yesterday,dwd.dwd_hr_view_details,ads.ads_data_trend_chart_active_yesterday
hr-运营看板,ads_data_trend_chart_active_yesterday,dwd.dwd_register_data,ads.ads_data_trend_chart_active_yesterday
hr-运营看板,ads_data_trend_chart_register_60days,dwd.dwd_register_data,ads.ads_data_trend_chart_register_60days
hr-运营看板,ads_data_trend_chart_register_yesterday,dwd.dwd_register_data,ads.ads_data_trend_chart_register_yesterday
hr-运营看板,ads_data_trend_chart_resume_60days,dwd.dwd_hr_resume_basicdata,ads.ads_data_trend_chart_resume_60days
hr-运营看板,ads_data_trend_chart_resume_60days,dwd.dwd_register_data,ads.ads_data_trend_chart_resume_60days
hr-运营看板,ads_data_trend_chart_resume_delivery_60days,dwd.dwd_hr_resume_deliverrecordopearatinglog,ads.ads_data_trend_chart_resume_delivery_60days
hr-运营看板,ads_data_trend_chart_resume_delivery_60days,dwd.dwd_register_data,ads.ads_data_trend_chart_resume_delivery_60days
hr-运营看板,ads_data_trend_chart_resume_delivery_yesterday,dwd.dwd_hr_resume_deliverrecordopearatinglog,ads.ads_data_trend_chart_resume_delivery_yesterday
hr-运营看板,ads_data_trend_chart_resume_delivery_yesterday,dwd.dwd_register_data,ads.ads_data_trend_chart_resume_delivery_yesterday
hr-运营看板,ads_data_trend_chart_resume_yesterday,dwd.dwd_hr_resume_basicdata,ads.ads_data_trend_chart_resume_yesterday
hr-运营看板,ads_data_trend_chart_resume_yesterday,dwd.dwd_register_data,ads.ads_data_trend_chart_resume_yesterday
hr-运营看板,ads_data_trend_chart_visitor,dwd.dwd_hr_view_details,ads.ads_data_trend_chart_visitor_yesterday
hr-运营看板,ads_data_trend_chart_visitor,dwd.dwd_hr_view_details,ads.ads_data_trend_chart_visitor_60days
hr-运营看板,ads_intended_industry_details,dwd.dwd_hr_resume_basicdata,ads.ads_intended_industry_details
hr-运营看板,ads_intended_industry_details,dwd.dwd_register_data,ads.ads_intended_industry_details
hr-运营看板,ads_intended_industry_details,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_intended_industry_details
hr-运营看板,ads_intended_position_details,dwd.dwd_hr_resume_basicdata,ads.ads_intended_position_details
hr-运营看板,ads_intended_position_details,dwd.dwd_register_data,ads.ads_intended_position_details
hr-运营看板,ads_intended_position_details,ods.ods_hr_resume_dictionarybegposition,ads.ads_intended_position_details
hr-运营看板,ads_register_user_record,dwd.dwd_register_data,ads.ads_register_user_record
hr-运营看板,ads_register_user_record,dwd.dwd_hr_resume_basicdata,ads.ads_register_user_record
hr-运营看板,ads_resume_cnt,dwd.dwd_hr_resume_basicdata,ads.ads_resume_cnt
hr-运营看板,ads_resume_cnt,dwd.dwd_register_data,ads.ads_resume_cnt
hr-运营看板,ads_resume_create_record,dwd.dwd_hr_resume_basicdata,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_dictionarybegposition,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_dictionarybegposition_region_province,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,dwd.dwd_hr_resume_educationbasicdata,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_practiceexperience,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ads.ads_register_user_record,ads.ads_resume_create_record
hr-运营看板,ads_resume_integrity,dwd.dwd_hr_resume_basicdata,ads.ads_resume_integrity
hr-运营看板,ads_resume_integrity,dwd.dwd_register_data,ads.ads_resume_integrity
hr-运营看板,意向岗位-ads_intended_position_details,ads.ads_resume_create_record,ads.ads_intended_position_details
hr-运营看板,意向岗位-ads_intended_position_details,ods.ods_hr_resume_dictionarybegposition,ads.ads_intended_position_details
hr-运营看板,意向行业公共表-ads_user_intended_industry,dwd.dwd_hr_resume_basicdata,ads.ads_user_intended_industry
hr-运营看板,意向行业公共表-ads_user_intended_industry,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_user_intended_industry
hr-运营看板,投递趋势-ads_data_trend_chart_resume_delivery_60days,ads.ads_resume_delivery_record,ads.ads_data_trend_chart_resume_delivery_60days
hr-运营看板,投递趋势-ads_data_trend_chart_resume_delivery_yesterday,ads.ads_resume_delivery_record,ads.ads_data_trend_chart_resume_delivery_yesterday
hr-运营看板,注册行业-ads_intended_industry_details,ads.ads_resume_create_record,ads.ads_intended_industry_details
hr-运营看板,注册行业-ads_intended_industry_details,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_intended_industry_details
hr-运营看板,注册趋势-ads_data_trend_chart_register_60days,ads.ads_register_user_record,ads.ads_data_trend_chart_register_60days
hr-运营看板,注册趋势-ads_data_trend_chart_register_yesterday,ads.ads_register_user_record,ads.ads_data_trend_chart_register_yesterday
hr-运营看板,活跃用户记录-ads_active_user_record_yesterday,ads.ads_active_user_record,ads.ads_active_user_record_yesterday
hr-运营看板,游客趋势-ads_data_trend_chart_visitor,ads.ads_active_user_record,ads.ads_data_trend_chart_visitor_yesterday
hr-运营看板,游客趋势-ads_data_trend_chart_visitor,ads.ads_active_user_record,ads.ads_data_trend_chart_visitor_60days
hr-运营看板,简历统计-ads_resume_cnt,ads.ads_resume_create_record,ads.ads_resume_cnt
hr-运营看板,简历完整度-ads_resume_integrity,ads.ads_resume_create_record,ads.ads_resume_integrity
hr-运营看板,访客趋势-ads_data_trend_chart_active_60days,ads.ads_active_user_record,ads.ads_data_trend_chart_active_60days
