,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
0,1095,20,27595.0,14.100000381469728,106.4000015258789,191,1,0,0,0,6.998509407043457,10.22538948059082
1,1001,32,9958.0,10.899999618530272,-30.600000381469727,13,1,0,0,0,6.908754825592041,9.206131935119627
2,1122,9,6125.89990234375,23.5,-16.299999237060547,14,1,0,0,0,7.0228681564331055,8.720280647277832
3,578,-9,16246.0,5.900000095367432,-25.700000762939453,-21,1,0,0,0,6.359573841094971,9.695602416992188
4,1368,7,21783.19921875,13.800000190734863,-3.0,56,1,0,0,0,7.221105098724365,9.98889446258545
5,1145,5,6021.39990234375,20.0,1.0,55,1,0,0,0,7.04315996170044,8.703075408935547
6,1078,10,2266.699951171875,16.399999618530273,-5.900000095367432,62,1,0,0,0,6.982862949371338,7.726080417633057
7,1094,7,2966.800048828125,16.299999237060547,-1.600000023841858,44,1,0,0,0,6.99759578704834,7.9952392578125
8,1237,16,4570.2001953125,10.5,-70.19999694824219,37,1,0,0,0,7.120444297790527,8.427311897277832
9,833,5,2830.0,26.299999237060547,-23.899999618530277,37,1,0,0,0,6.725033760070801,7.948031902313232
10,567,7,596.7999877929688,25.899999618530277,39.5,109,1,0,0,0,6.340359210968018,6.391582012176514
11,933,-3,19773.0,26.799999237060547,-26.799999237060547,-10,1,0,0,0,6.838405132293701,9.892072677612305
12,1339,-9,40047.0,14.800000190734863,12.100000381469728,41,1,0,0,0,7.199678421020508,10.597808837890623
13,937,9,2513.800048828125,22.299999237060547,9.800000190734863,44,1,0,0,0,6.8426833152771,7.829550743103027
14,2011,49,1580.5999755859375,56.29999923706055,62.20000076293945,63,1,0,0,0,7.606387615203857,7.3655595779418945
15,1585,4,6754.0,12.600000381469728,9.300000190734863,17,1,0,0,0,7.368339538574219,8.817890167236328
16,905,12,1066.300048828125,20.399999618530277,33.79999923706055,141,1,0,0,0,6.807934761047363,6.971950054168701
17,1058,94,3199.89990234375,1.899999976158142,-86.80000305175781,-15,1,0,0,0,6.964135646820068,8.07087516784668
18,922,48,1452.699951171875,19.899999618530277,97.3000030517578,56,1,0,0,0,6.826545238494873,7.281178951263428
19,1220,-7,8995.0,15.399999618530272,19.5,28,1,0,0,0,7.1066060066223145,9.104424476623535
20,1022,16,1212.300048828125,38.70000076293945,162.89999389648438,83,1,0,0,0,6.929516792297363,7.100274562835693
21,759,12,2824.199951171875,16.399999618530273,-9.399999618530272,21,1,0,0,0,6.632001876831055,7.945980548858643
22,1414,0,7621.0,24.399999618530277,-30.200000762939453,-10,1,0,0,0,7.254178047180176,8.9386625289917
23,1041,-11,4418.2998046875,15.600000381469728,-7.5,74,1,0,0,0,6.94793701171875,8.393509864807129
24,1688,1,12343.0,14.399999618530272,-16.799999237060547,15,1,0,0,0,7.431299686431885,9.420844078063965
25,2983,13,57662.0,19.0,9.899999618530272,42,1,0,0,0,8.00068473815918,10.962353706359863
26,1160,0,4319.7001953125,16.100000381469727,-23.299999237060547,-2,1,0,0,0,7.056175231933594,8.370941162109375
27,3844,61,20604.0,12.100000381469728,-5.900000095367432,18,1,0,0,0,8.254268646240234,9.93324089050293
28,476,6,611.2999877929688,16.200000762939453,-15.699999809265137,40,1,0,0,0,6.165417671203613,6.415587902069092
29,1492,10,12431.7001953125,18.399999618530277,-23.299999237060547,58,1,0,0,0,7.307872772216797,9.42800521850586
30,1024,-3,8169.0,14.199999809265137,-36.20000076293945,-10,1,0,0,0,6.931471824645996,9.008101463317873
31,1593,18,20659.0,14.899999618530272,410.2999877929688,16,1,0,0,0,7.373374462127685,9.935906410217283
32,427,27,3072.10009765625,12.399999618530272,-17.700000762939453,61,1,0,0,0,6.056784152984619,8.03011703491211
33,829,5,1669.0999755859375,17.100000381469727,-39.29999923706055,64,1,0,0,0,6.72022008895874,7.420039653778076
34,797,-3,2401.199951171875,16.899999618530273,6.0,39,1,0,0,0,6.680854797363281,7.783723831176758
35,577,23,3043.60009765625,18.100000381469727,-13.5,1,1,0,0,0,6.357842445373535,8.020796775817871
36,1342,7,6222.2001953125,10.899999618530272,-6.0,59,1,0,0,0,7.201916217803955,8.735878944396973
37,1774,0,7727.89990234375,19.299999237060547,15.300000190734863,19,1,0,0,0,7.480992317199707,8.952592849731445
38,709,11,719.5,18.299999237060547,4.599999904632568,65,1,0,0,0,6.563855648040772,6.578556537628174
39,860,28,3921.300048828125,18.399999618530277,34.70000076293945,45,1,0,0,0,6.756932258605957,8.274178504943848
40,1336,20,5155.10009765625,13.800000190734863,1.7000000476837158,7,1,0,0,0,7.19743537902832,8.547741889953613
41,516,-2,649.2000122070312,13.699999809265137,-10.300000190734863,27,1,0,0,0,6.246106624603272,6.475740909576416
42,931,20,10885.0,12.699999809265137,14.5,10,1,0,0,0,6.836259365081787,9.295141220092772
43,815,12,1651.9000244140625,15.100000381469728,-2.400000095367432,33,1,0,0,0,6.703187942504883,7.40968132019043
44,1681,20,12915.0,16.5,-66.69999694824219,29,1,0,0,0,7.427144050598144,9.466144561767578
45,568,-36,11436.0,10.199999809265137,-48.29999923706055,-19,1,0,0,0,6.342121601104736,9.344521522521973
46,775,7,2210.300048828125,19.600000381469727,18.899999618530277,34,1,0,0,0,6.652863025665283,7.700883388519287
47,1188,9,3737.800048828125,12.800000190734863,32.5,15,1,0,0,0,7.080026626586914,8.226252555847168
48,782,-1,1976.699951171875,15.899999618530272,-0.6000000238418579,24,1,0,0,0,6.66185474395752,7.589183807373047
49,1170,0,2576.0,17.299999237060547,-39.09999847412109,93,1,0,0,0,7.064759254455566,7.853992938995361
50,1469,8,6309.10009765625,8.5,93.9000015258789,79,1,0,0,0,7.292336940765381,8.749748229980469
51,916,-1,2940.5,16.399999618530273,25.799999237060547,105,1,0,0,0,6.820016384124756,7.986334800720215
52,1070,-9,1072.5999755859375,19.5,34.79999923706055,269,1,0,0,0,6.975413799285889,6.977840900421143
53,894,1,1534.0,19.200000762939453,-3.700000047683716,74,1,0,0,0,6.795705795288086,7.335633754730225
54,829,-4,2158.800048828125,15.899999618530272,-27.600000381469727,-18,1,0,0,0,6.72022008895874,7.677307605743408
55,780,17,1736.0,19.899999618530277,50.70000076293945,23,1,0,0,0,6.659294128417969,7.459338665008545
56,2327,10,3598.800048828125,28.100000381469727,-28.299999237060547,104,1,0,0,0,7.752335071563721,8.188355445861816
